"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,1,yandex,cpc,prof-frontend,57138,1,1,237990
2023-06-01,2,yandex,cpc,freemium,21654,2,2,232766
2023-06-01,1,yandex,cpc,base-frontend,18061,1,1,201150
2023-06-01,1,vk,cpc,freemium-frontend,3160,1,1,189210
2023-06-01,1,yandex,cpc,freemium,21654,1,1,188991
2023-06-01,1,yandex,cpc,prof-frontend,57138,1,1,180306
2023-06-01,1,vk,cpc,prof-java,3115,1,1,178800
2023-06-01,1,yandex,cpc,prof-frontend,57138,1,1,167625
2023-06-01,1,yandex,cpc,base-python,12524,1,1,160920
2023-06-20,1,telegram,cpp,base-java,,1,1,151192
2023-06-01,1,yandex,cpc,dod-php,5964,1,1,150255
2023-06-01,1,yandex,cpc,prof-data-analytics,10086,1,1,144244
2023-06-01,1,yandex,cpc,base-professions-retarget,151,1,1,134100
2023-06-01,1,yandex,cpc,freemium,21654,1,1,134100
2023-06-01,1,yandex,cpc,prof-python,33026,1,1,134100
